bgg_id,image
12758,https://cf.geekdo-images.com/8LOw15NhvTClckvS-tdrUQ__original/img/WYVweE3YKPhyCWMzR80gI3Y2pQo=/0x0/filters:format(jpeg)/pic51472.jpg
12759,
12760,https://cf.geekdo-images.com/hLa2Tvf7yKA229DLGN_55Q__original/img/rHTljNauxC0IYz3THbGz2Wo-WSc=/0x0/filters:format(jpeg)/pic3704849.jpg
12761,
12762,https://cf.geekdo-images.com/ND3N8kFC_qvsVJkFIwSEJQ__original/img/pczTen0Eje3-vjB8jEHslnZwsFA=/0x0/filters:format(jpeg)/pic51833.jpg
12763,
12764,https://cf.geekdo-images.com/37_H4NOSQ-SEUMprl_6OJg__original/img/rJTXN3qwpg70XCd6ExMHDXC2muk=/0x0/filters:format(jpeg)/pic56857.jpg
12765,
12767,https://cf.geekdo-images.com/zWCrW9UroKZBSKXzVY4hKg__original/img/KxVL-NU1TbtaFm9-rl9dx5Almgo=/0x0/filters:format(jpeg)/pic96166.jpg
12768,
12769,https://cf.geekdo-images.com/QvdiOqR_TJh_NweFsmS1DA__original/img/8DtSJuf2uoBzlLPxmruiUb_qptM=/0x0/filters:format(jpeg)/pic54071.jpg
12770,
12771,https://cf.geekdo-images.com/_a6z1SQaDV59CGzEJFHkDg__original/img/ERRXy_CU1U_lDZuwBaA4LlX7qFw=/0x0/filters:format(jpeg)/pic117403.jpg
12773,
12774,https://cf.geekdo-images.com/0bahiKYb53PmWG3Idoz6dg__original/img/4f-7vDVwBLwNdxzctGGnqDZPG_I=/0x0/filters:format(jpeg)/pic299142.jpg
12775,
12776,https://cf.geekdo-images.com/51oAYOr_44gGXbbX1IgH5A__original/img/eP4vd0w76O5-wvNuGGYtjwl7DJI=/0x0/filters:format(jpeg)/pic125336.jpg
12777,
12778,https://cf.geekdo-images.com/x331H2Lefahapda_coK49Q__original/img/n1weieoRa7JYiQfkGG4vXsvmziU=/0x0/filters:format(jpeg)/pic51599.jpg
12779,
12780,https://cf.geekdo-images.com/CT_3Vb1VeEQc9EsqBVnWwg__original/img/RjlHentR_lw9lVvDHsxGLlvVHOo=/0x0/filters:format(jpeg)/pic53880.jpg
12782,
12783,https://cf.geekdo-images.com/AcdEZOxqJ88B9m8U7MBIeQ__original/img/9nCRM1Z1KTuEK__xg2QFLkGIvKA=/0x0/filters:format(jpeg)/pic53891.jpg
12784,
12785,https://cf.geekdo-images.com/WxNwajBK9MXncFeNVTVk3Q__original/img/y6-EjhmaRWzbwsotY61khUMMNFo=/0x0/filters:format(jpeg)/pic1164887.jpg
12786,
12787,https://cf.geekdo-images.com/QdHnlzckeL8-6T_25eqy7g__original/img/etEInfjzol7kridCdph1uoMflSc=/0x0/filters:format(jpeg)/pic51855.jpg
12788,
12789,https://cf.geekdo-images.com/s7sU06CQu60AKo_BibEc2Q__original/img/-U85hEo-XPoz1DdoLw05wkBhdmI=/0x0/filters:format(jpeg)/pic51549.jpg
12790,
12791,https://cf.geekdo-images.com/R5xm6xuPipHDWVZgBcqarA__original/img/-0xxebFjz5k8vXjEVAzevGwMrfs=/0x0/filters:format(jpeg)/pic51545.jpg
12792,
12793,https://cf.geekdo-images.com/auv8xkEZ2-930wiwfRCD2g__original/img/ORDYmIyCYnMzvx-c0DV292LbTx0=/0x0/filters:format(jpeg)/pic51548.jpg
12794,
12795,https://cf.geekdo-images.com/xre7EYaabJ8TWx9dhqc-wA__original/img/-9zAbPkHa_02qaCXN6p4Ldc0od0=/0x0/filters:format(jpeg)/pic103994.jpg
12796,
12797,https://cf.geekdo-images.com/zD0zGHr1wXruS_KaueGlNg__original/img/LiR0HgLgahADvbJvv2T298x2sAU=/0x0/filters:format(jpeg)/pic430227.jpg
12798,
12799,https://cf.geekdo-images.com/SlxfZ9_9Wo0idll60DzGaw__original/img/Bq9Kvpxtjsg5leKaEjPkY393lLw=/0x0/filters:format(jpeg)/pic2076880.jpg
12800,
12801,https://cf.geekdo-images.com/8-qYTaa4xo6ivhhDxx3znQ__original/img/bcHJPmFsNPrCQRN4W4TF7twHv84=/0x0/filters:format(png)/pic7238595.png
12802,
12803,https://cf.geekdo-images.com/7F5eLPoGCtNR_FgGxz-8nw__original/img/uYEEtP40sUSWkH8E997-b1Wru9o=/0x0/filters:format(jpeg)/pic3741529.jpg
12804,
12805,https://cf.geekdo-images.com/Vtg7JvuN8P80RztPSGz7Gw__original/img/p0p4yBStaI9YADPAYphLKHk76gA=/0x0/filters:format(jpeg)/pic6763178.jpg
12806,
12807,
12808,
12809,
12810,
12811,https://cf.geekdo-images.com/9JK9VvJ5KKAbD99C4YuS4Q__original/img/6rp6pG6Kcl8YH-3hu8gg1FLWs_k=/0x0/filters:format(jpeg)/pic250088.jpg
12812,
12813,https://cf.geekdo-images.com/PuVXmKs2pL5f5bwzDN8AqA__original/img/0o6TqAZi7oGFhql-ebKB6yzQdv8=/0x0/filters:format(jpeg)/pic113898.jpg
12814,
12815,https://cf.geekdo-images.com/YSlXpdXH971phjhbSL3hsQ__original/img/mU5N22OfeSKfQKusL5bshVmv-pY=/0x0/filters:format(jpeg)/pic51556.jpg
12816,
12817,https://cf.geekdo-images.com/DSZYwLE_0ndoTwfbLMlNBw__original/img/tJShkNRI1TkQG9e_8UKaBEiap_A=/0x0/filters:format(jpeg)/pic51559.jpg
12818,
12819,https://cf.geekdo-images.com/3zNmEGfP3BVcoiPcQSaCYw__original/img/H0j_P1BkPmleWEUAyzV1x46Hvms=/0x0/filters:format(jpeg)/pic51643.jpg
12820,
12821,https://cf.geekdo-images.com/Ylgu4ImkOkCheIor6nlbaw__original/img/ZPHAs0a0DpbncMhc7WC3CLmQvPM=/0x0/filters:format(jpeg)/pic51561.jpg
12822,
12823,https://cf.geekdo-images.com/TQbdjYHGJ82DMPBE1xBfwQ__original/img/hOJUMCK78iScft8ap61tfRtIiQY=/0x0/filters:format(jpeg)/pic54612.jpg
12824,
12825,https://cf.geekdo-images.com/WRMeWqrnSv1v2NRY8i7Pog__original/img/4NWjGK60GwyGzN15OKadJSYID0Y=/0x0/filters:format(png)/pic8436698.png
12826,
12827,https://cf.geekdo-images.com/v1vJlXFRxz3cvv-JZNOElA__original/img/Z_o2pV5uTTNOOU5SNrMNjEI4XWE=/0x0/filters:format(jpeg)/pic53836.jpg
12829,
12830,https://cf.geekdo-images.com/g2yr2XfXbeofU8pdo_iCdQ__original/img/VH5twDkHNu1qoBmBNnxZWLn6tcM=/0x0/filters:format(jpeg)/pic4878306.jpg
12831,
12833,https://cf.geekdo-images.com/jnXZBWBYmmHsybDbgpaWbA__original/img/Yb1Ixns5fd7TghhlIy4q1Br5x2s=/0x0/filters:format(jpeg)/pic81860.jpg
12834,
12835,https://cf.geekdo-images.com/qWjJyg-Og9EXHUv9rRTcOA__original/img/ZOGEL4-NkbXTynG9P4VjcMgYbKA=/0x0/filters:format(jpeg)/pic59504.jpg
12836,
12837,https://cf.geekdo-images.com/mWAL2hidx3WznqXo6ulfaw__original/img/TH5DegBPOzUOw9FdTiZ6wYkEQ28=/0x0/filters:format(jpeg)/pic97440.jpg
12839,
12840,https://cf.geekdo-images.com/GlzFjO6lTsljj21YTDwtFA__original/img/pv2biKAEmzPy7jAYc2pfHkCh-Ig=/0x0/filters:format(jpeg)/pic51568.jpg
12841,
12842,https://cf.geekdo-images.com/ODZ9Pp1yKKSuaxqVjR2KZQ__original/img/lf4h2i8FB6hRBstbfvMvZG6M-OI=/0x0/filters:format(jpeg)/pic519935.jpg
12843,
12845,https://cf.geekdo-images.com/i2p848c7CicqmGCVitm4bg__original/img/YlV_yJDTOJ24bhocCSGOibs_fEo=/0x0/filters:format(jpeg)/pic55624.jpg
12847,
12849,https://cf.geekdo-images.com/eSlLMsWmiZeBMA_oV8txJw__original/img/63KfNwPSAlfS-3INGWBK2sTtt8o=/0x0/filters:format(jpeg)/pic51717.jpg
12850,
12851,https://cf.geekdo-images.com/WLMQqrfn6oD6uUhs9R_VnQ__original/img/EluewmRa6lph2f4RawjuFJWikAM=/0x0/filters:format(jpeg)/pic52176.jpg
12852,
12853,https://cf.geekdo-images.com/dQxcFc665wgEDOndcw2zhQ__original/img/NqCXTHsE1Cv00ZzVpe2UDlgaeSk=/0x0/filters:format(jpeg)/pic52032.jpg
12854,
12855,https://cf.geekdo-images.com/VfntSSCSTqELnWZGi6ow4Q__original/img/AggaKUpm00JeT34oAZoX2H9slx8=/0x0/filters:format(jpeg)/pic410497.jpg
12856,
12857,https://cf.geekdo-images.com/GWW_rp_A0VHoEK1-Z4qlww__original/img/ElT1Ki41AoU2LESZoOl8BcaM4DA=/0x0/filters:format(jpeg)/pic52034.jpg
12858,
12859,https://cf.geekdo-images.com/_LO1l4su9FM0wffkiVZ3NA__original/img/te9JmE629k6rjOmxl_uruI37-II=/0x0/filters:format(jpeg)/pic5650055.jpg
12860,
12861,https://cf.geekdo-images.com/s1tkzASl9U3oSQyjggWLag__original/img/PS9HN41Ac1p80Mx8ArnEnlWxzdM=/0x0/filters:format(jpeg)/pic86641.jpg
12862,
12863,https://cf.geekdo-images.com/dCZQoC7LGpBFfY4PsIuqmA__original/img/kCYMaY1URugaBWg5bGhqll6L8xg=/0x0/filters:format(jpeg)/pic157929.jpg
12864,
12865,https://cf.geekdo-images.com/3aSQhmlTNkoEM1qNm5M2tQ__original/img/F2f8-K8a8usi1qnqR-Upbmg2Xrc=/0x0/filters:format(jpeg)/pic251788.jpg
12866,
