bgg_id,image,description
194232,,
194233,https://cf.geekdo-images.com/kIDl8Jlzsy9zIwiijXTg8A__original/img/e2R6oB3DJ_VBHBstVmQEH1F20gM=/0x0/filters:format(jpeg)/pic2904534.jpg,"What kind of craziness ensues when cartoon worlds collide? Cartoon Network's baddest adversaries are loose and it's up to you to stop them. Play as your favorite heroes from Cartoon Network's past and present hit shows: Adventure Time, The Amazing World of Gumball, Clarence, Courage the Cowardly Dog, Dexter's Laboratory, Johnny Bravo, Regular Show, Samurai Jack, and Steven Universe to take them down! Every main deck card is unique and brimming with Cartoon Network fan service!&#10;&#10;In Cartoon Network Crossover Crisis Deck-Building Game, a wacky take on the Cerberus Engine, you'll find everything you've come to expect in a Cryptozoic game: high drama and hijinks! WEAKNESS cards are all unique, dangerous, and may cause a wringing of hands and stomping of feet. Fortunately, PRATFALL cards (which replace Vulnerabilities) are a great way to exit any scene (and get rid of Weaknesses).&#10;&#10;Never before seen EVENT cards change things up in crazy ways when they appear out of the main deck. They may literally cause a stomping of feet. Or outlandish zoo animal noises, and more! You never know who will be the next victim, but everyone is in on the hilarity! In the end, only one player will be left laughing as this is a competitive game. You didn't really think all these characters would work together in peace and harmony, did you?&#10;&#10;"
194234,,
194238,,"KiBosh! is a classic 3-Card game with Explosive Action! Kibosh31 is a new card game based on a classic 3-card game of 31, also known as Scat or Ride The Bus. The object of the game is to build your 3-card hand to a total of 31, or as close as you can, before your opponents do by drawing and discarding from the deck or discard pile. KiBosh! includes Skip and Reverse cards similar to UNO, and a unique KiBosh card, that when played, forces the next player to dicard their entire hand and draw three new cards. Players are eliminated after losing all their chips in round play and the last player wins the pot.&#10;&#10;"
194242,,
194249,https://cf.geekdo-images.com/fJO3UhCT-NAG-5ihn5-2yQ__original/img/S9iFy6tYX2bYIfCUxcM01OmiTnw=/0x0/filters:format(png)/pic2907684.png,"Wherewolf: Red Riding Hood is a 6 player stand-alone game, but can expand Wherewolf too.&#10;&#10;In this version of the game there's no moderator, since everyone starts with eyes closed and plays the first round. Then, the first one who dies becomes the moderator.&#10;&#10;The 6 pg/cards are:&#10;&#10;     The Wolf (wins if alive with just another one)&#10;     Red Riding Hood (wins if the Wolf dies)&#10;     The Grandmother (if eaten by the wolf, she becomes the wolf!)&#10;     The Hunter (can kill the Grandma-Wolf)&#10;     The Jester (wins when eaten by the Wolf)&#10;     The Mad Man (wins when killed by vote)&#10;&#10;&#10;"
194253,,
194258,https://cf.geekdo-images.com/4QaYsIQfDRriTeBBnpl7sw__original/img/-9cs9UivBCC7InadPChSmLyebNw=/0x0/filters:format(jpeg)/pic7922559.jpg,"Turtles travel freely (the number rolled on the die, in any direction) around the game board fighting Shredder's henchmen.  The goal is to try to win enough battles, collect enough cards, and beat Shredder first.  Each board space has one of a handful of actions associated with landing there.  Sewers are used as portals to jump across the board and manhole covers can be used to block those portals.&#10;&#10;Game rules borrow heavily from Teenage Mutant Ninja Turtles: Pizza Power Game (1987).&#10;&#10;"
194261,https://cf.geekdo-images.com/tzp6acWBt0rNTocCeCn-9A__original/img/HfKY_kNLnkzNt5Z6ZIat9964lFU=/0x0/filters:format(png)/pic2905211.png,"Fighting the Islamic State was researched and designed to show why the war in Iraq and Syria is causing so many refugees, who is fighting and why, and what outcomes may occur. The game covers the period 2014-2017, and so projects into the future. In order to accommodate that, we'll update the rules and charts periodically online to reflect what is happening in the field.&#10;&#10;The game counters (playing pieces) include combat units for: the Islamic State (&quot;ISIS,&quot; &quot;ISIL,&quot; &quot;Daesh&quot;), the Syrian Regime (including Russians), the Syrian Rebels, the Kurds, the Iraqis, the Iranian-backed forces (Shia Militia and Hezbollah), and the US/Coalition forces (USA, France, Britain, Turkey).&#10;&#10;The map covers all of Syria and Iraq and the border areas. Depicted are the power plants, dams, oil fields, refineries and archaeological sites that the Islamic State exploits for cash. The map is color-coded to reflect the primary religious sects that divide loyalties there: Shia and Sunni Muslims, plus &quot;Tolerants.&quot; Fighting in an area that matches your Faction's religion helps you; fighting in the other areas helps your opponents.&#10;&#10;The game is for 2-6 players. &quot;Momentum&quot; is a key concept - the player with Momentum starts and ends each turn. The Islamic State also commits &quot;Acts of Terror&quot; every turn that increase the likelihood for Intervention, mostly from the U.S.&#10;&#10;"
194285,https://cf.geekdo-images.com/YF8H6SU72u8PgedE54AgOQ__original/img/VFLHIIXnZcWtJCYxyHsFyYWpjQE=/0x0/filters:format(png)/pic2908886.png,"The dance arena is ready, and it's time to put on your dancing shoes!&#10;&#10;Dance Arena 200 is a hilarious social game. Out of 200 dances from all over the world, it's your job to make your partner guess the correct dance.&#10;Demonstrate! Dance together! Teach! Explain! And best of all - have fun!&#10;Attention: once the sand timer is turned over, your teammate must name as many dances as possible. The fastest players win! With various difficulty levels, this game is suitable for everyone, no matter what your dancing skills are.&#10;&#10;"
