bgg_id,image,description
65763,,
65764,https://cf.geekdo-images.com/t2KAK4pzXVpwuKk933SghQ__original/img/KsMnPns9XWJcWTfrytpA8Py828s=/0x0/filters:format(jpeg)/pic656940.jpg,"Children subject of a quiz on Latvia are interesting questions raised in 1500, with 500 of them are illustrated, and multiple choice. Questions are arranged in six groups: music, sports, geography, nature, culture and general way. Correctly answering questions, all groups in chips and go to the finish box. Wins the player who first responded to the three subsequent issues. How much do you know about your homeland? Discover, learn and have fun!&#10;&#10;"
65765,https://cf.geekdo-images.com/11vCBCZ0DnQ1T2L9rPcTvw__original/img/4CfLJCFBkuQLLjJDArzIk8EPmvA=/0x0/filters:format(jpeg)/pic808531.jpg,"Lilly the Witch has made the leap into the era of the great excavations in Egypt and will try to solve the mystery of the mummy. What will happen when the frog is placed in the blue coffin? What if the spider in the red coffin disappears? Whoever keeps track and makes the best predictions, wins this memo game. Lilly the Witch is quite a tricky memory game for children where illustrated chips are hidden into three different sarcophagus of different colors. The game becomes harder as the game progresses.&#10;&#10;"
65766,,
65767,https://cf.geekdo-images.com/ful0iiCud5T06Fa2VJvfBg__original/img/0YR0GzSvdVpx4hfF3GwFVuhNyOY=/0x0/filters:format(jpeg)/pic8491498.jpg,"An interesting quiz game about the Ukraine - now in a handy travel size edition! The game includes 600 questions divided into six categories, which are History, Culture, Science, Geography, Sport and Miscellaneous&#10;&#10;"
65768,,
65769,https://cf.geekdo-images.com/qZjNP4GcHoATHVxmw894MQ__original/img/-4zqzgSHN6ZLPdBlUONAe6TXqrQ=/0x0/filters:format(jpeg)/pic656981.jpg,From the box! The best questions and answer game. With 300 questions about KUS (local girl band - translation KISS) and other issues that you like. Win by getting most cards! Number of cards needed is decided between players.&#10;&#10;
65770,,
65771,https://cf.geekdo-images.com/iLb_c7BEZ2jJdvhIfzciLQ__original/img/APBjtRjmD9KkBZjLuvbbZQf7XPU=/0x0/filters:format(jpeg)/pic665299.jpg,"A game that offers several games in one but each tied together by the theme of setting the time in a clock and learning together to help children to learn about time. The gameplay evolves around the play of cards with different situations that occur during the day The figure of identification cards with Leon pretend situations. Each card has a color frame that situates the event to a certain time of the day, the players should then try to set the clock to match the correct time of the day. Th game can also be played as a memo game.&#10;&#10;"
65772,,
65773,https://cf.geekdo-images.com/XeGjQgyzkP9DesJx3DDVag__original/img/0KXIq4Bl6s_uNruJrZGTPN0ZhRM=/0x0/filters:format(jpeg)/pic808495.jpg,"Part of the &quot;Kleinen Lerndrachen&quot; educative game series from Kosmos.&#10;&#10;The players try to find the appropriate letters for words on the cards, the player with the most cards wins. The letters cards are laid out in groups of three, next to the stack of cards. From that stack you look at the first letter card - look at the three displayed word cards and see if there is a match.  If they match you get both cards and may try it next card from the pile.&#10;&#10;"
65774,,
65775,https://cf.geekdo-images.com/BSTaMcteTh0PljwCKUxLdg__original/img/Q5_ofw2ELIj-syurdXgpEMMp1Ik=/0x0/filters:format(jpeg)/pic657056.jpg,"&quot;By 1824 the liberation of South America from Spanish rule was nearly complete. The last remaining seat of Spanish power was in Peru.&quot;&#10;&#10;&quot;The final battle was fought on December 9 at Ayacucho. Shouting 'Paso de vencedores'(onward to victory). General Cordoba led the right wing of the rebel army in the attack that finally broke the back of the royalist army. This decisive battle marked the end of Spanish colonial rule in South America.&quot;&#10;&#10;This miniatures wargame is intended for classroom use with two teams of students (grades 6-8). The game is designed to be played on a 7.5x5 foot table using 1/72 scale plastic miniatures. Free print-and-play paper miniatures are also provided for use with the rules.&#10;&#10;Infantry and cavalry figures are mounted two to a base. It takes six bases to make an infantry or cavalry unit, with an infantry unit representing about 400 men and a cavalry unit representing 200. The Rebels begin with 15 units and the Royalists 19.&#10;&#10;"
65776,,
65778,https://cf.geekdo-images.com/HU2a2XGzF0GCxw6Tmy0naA__original/img/dpShQDjuEPWd0SRFbok8R7qyqpg=/0x0/filters:format(jpeg)/pic653468.jpg,"&quot;When the American Civil War began both sides were expecting the issue to be settled quickly, by one decisive battle. The Union was enlisting men for just three months! The first battle took place around Bull Run river (the battle is also known as First Manassas).&quot;&#10;&#10;&quot;The battle was a chaotic affair. Neither army had been properly trained, and the bewildering assortment of uniforms led to confusion. The main battle centered around Henry Hill. General Jackson's brigade occupied the hill and held the position against a series of piecemeal Union attacks, leading to the comment 'There stands Jackson, like a stone wall.' Jackson had his nickname, and the Confederates had their first victory.&quot;&#10;&#10;&quot;This scenario focuses on the fight for Henry Hill from noon until about 4 PM, when Early's Brigade arrived to seal the Confederate victory.&quot;&#10;&#10;A miniatures wargame intended for classroom use with two teams of students (grades 6-8). The game is designed to be played on a 7.5x7 foot table using 1/72 scale plastic miniatures. Free print-and-play paper miniatures are also provided for use with the rules.&#10;&#10;The streamlined &quot;fast and easy&quot; rules encompass unit formations, dismounted cavalry, terrain, line of sight, charges, commanders, and morale.&#10;&#10;"
65781,,
65782,https://cf.geekdo-images.com/X1tGpMWp2DD15hq5BDX40g__original/img/vwjw_BXS-9pvacQt3elvIVeywKo=/0x0/filters:format(jpeg)/pic653471.jpg,"&quot;On August 5, 1864, Admiral Farragut led a flotilla of 14 wooden ships, four ironclads, and numerous gunboats into Mobile Bay to seal off the city of Mobile, one of the two remaining Confederate ports.&quot;&#10;&#10;&quot;While entering the bay, the Union monitor USS Tecumseh struck a submerged torpedo and sank. Under fire from both the Confederate fleet and Fort Morgan, Farragut had to choose between retreating or risking the minefield. He then issued his famous order, 'Damn the torpedoes! Full speed ahead!'&quot;&#10;&#10;&quot;Though both ironclad and wooden ships fought at Mobile Bay, this game gives players the opportunity to see how an all ironclad engagement may have been fought with ships of varying designs, and consider the trade offs naval engineers must make when designing a warship.&quot;&#10;&#10;This &quot;build your own ironclad&quot; game is a miniatures wargame intended for use with students. The game is designed to be played on a 7.5x5 foot table which recreates characteristics of Mobile Bay, including islands, forts, water depth, pilings, and mines. Components necessary for play are available for free download at the Junior General website.&#10;&#10;"
65784,,
65785,https://cf.geekdo-images.com/RmmUl-nvBCz4V6UXcRHU-Q__original/img/J8pW4XdBy-BNzOVXx9mXX52EW4g=/0x0/filters:format(jpeg)/pic653445.jpg,"&quot;Pickett&rsquo;s charge [at the Battle of Gettysburg] will always be remembered as a tragic desperate maneuver.&quot;&#10;&#10;&quot;After the failure of the Confederate artillery to destroy the Union defenses, and the quick counter fire from the Union artillery, Lee entrusted Longstreet with three divisions: Trimble, Pettigrew, and Pickett. Those three divisions charged across a field of fire a mile in length, and up a sloping hill towards the muskets and cannons waiting for them at the top . . . The day ended in defeat for the Confederates. Pickett&rsquo;s Division was utterly destroyed.&quot;&#10;&#10;This is a miniatures wargame intended for classroom use with students in grades 6 to 8. The game is designed to be played on a 7.5x5 foot table using 1/72 scale miniatures. Two orders of battle are presented - one for a fast play game of 45 to 90 minutes, and a second order of battle for a longer game.&#10;&#10;"
65787,,
65789,https://cf.geekdo-images.com/0oypNOkL7wRnjGFWctfLxQ__original/img/42W4hKOUJRtJ4IrNtt5GODWgJ58=/0x0/filters:format(jpeg)/pic653956.jpg,"As it puts it in the introduction to the rules, Roman Circus Chariot Race is &quot;a light-hearted attempt to recreate some of the incidents and excitement of these races in the form of a game&quot;.&#10;&#10;The game provides a thorough but accessible and easy to follow rules set that includes charts for resolving Whip Attacks, Bridle Snatching, Ramming, Heading Off, Collisions, Jumping Wrecks, Charioteers thrown from their chariot, loss of wheels and Chariot Wrecks.&#10;&#10;The boxed game includes the rules, two pages of reference charts, a small hex board representing a simple racing circuit, and cardboard cut-out counters for chariots and charioteers.  Players must supply their own standard 6-sided dice and 20-sided decimal dice.  Miniatures are optional.&#10;&#10;"
65790,,
65796,https://cf.geekdo-images.com/Mn5xYxnxpOhzEdKl3TS5dQ__original/img/mblbPMktQ3vSYX3N0Zxl47QQJhQ=/0x0/filters:format(jpeg)/pic3738222.jpg,Goal of the game: The players who play with a sailor have to reach his ship with the treasure of the Big Pirate (they can also hide behind the coco trees); the player who plays the Big Pirate has to catch the sailors to win.&#10;&#10;Components of the game:&#10;&#10;     1 Big Pirate painted plastic figurine&#10;     3 painted plastic sailor figurines&#10;     3 treasures&#10;     1 board (30x28cm) depicting an island&#10;     7 plastic coconut trees&#10;     2 dice&#10;     13 cards&#10;&#10;&#10;
65797,,
65799,,"Spanish board game published in the '90s about the Tour of Spain.&#10;&#10;Players move their pawns over the board with the use of a dice and travel through Spain starting traveling through regions like Castillia, Extremadura, Galicia, Asturias, Pais Vasco and Aragon to the finish in Madrid. He who reaches Madrid first wins the game.&#10;&#10;"
65800,,
65801,https://cf.geekdo-images.com/bNgVsoAv-WLk8rZPhBbiBw__original/img/Mw5eD-OsG7S27cYhHhzHmGM7vz8=/0x0/filters:format(jpeg)/pic1194921.jpg,"French cycling game published by a bicycle touring club from Strasbourg to celebrate their 20th anniversary. The board consists of six parts that have to be puzzled together; also included are 4 pawns (in red, green, blue &amp; yellow) and two dice (in green &amp; red).&#10;&#10;"
65802,,
65804,https://cf.geekdo-images.com/zPlPMEKEY2RGgT818FI5cw__original/img/GXf0Wp60rGx-eJkwEHSPiGfux0E=/0x0/filters:format(jpeg)/pic7226650.jpg,"You play with money and dice at a round gameboard, with an owl in the middle.&#10;&#10;The literal translation of the High German name &quot;Eulenspiegel&quot; gives &quot;owl mirror&quot;. However, the original Low German is believed to be ul'n Spegel, meaning &quot;wipe the arse&quot;.&#10;&#10;"
65805,,
65806,https://cf.geekdo-images.com/5lopNBS_8IV3q1P4sUAa4Q__original/img/jPgnjaVTN4tHxXO_AD8jdOpaqiU=/0x0/filters:format(jpeg)/pic1166183.jpg,A roll and move game published in the Hague. In the corners of the gameboard one can see pictures from Moscow.&#10;&#10;
65807,,
65808,https://cf.geekdo-images.com/bDu7ISuWttuuCaACcmg1PA__original/img/qeOQtNeGKtxFPbz1x9rGMfrfJZc=/0x0/filters:format(jpeg)/pic1166500.jpg,A roll-and-move game published in Nuremberg. The gameboard depicts animals.&#10;&#10;
65809,,
