bgg_id,image,description
204141,https://cf.geekdo-images.com/3CJX_z_2lmZO1T2r5V6XFQ__original/img/SwhKYYO5rdLcjP4k9ClIcJJFa3M=/0x0/filters:format(jpeg)/pic3120134.jpg,"Description from the publisher:&#10;&#10;Welcome to Cat Town, a paradise for cats and cat lovers like you. On these lazy breezy days, you may see cats lying on the roof, inside the bushes, under the cars, or any other funny places they see fit. During your visit today, take a walk around the blocks to see how many cats you can find in Cat Town.&#10;&#10;Cat Town combines memory, hand-management and deck-manipulation, with players scoring points in three ways: finding cats, collecting items, and playing Travel notes cards. To set up, shuffle the deck of Cat, Item, and Action cards, deal two cards to each player, then create four or six &quot;blocks&quot; of cards, based on the number of players. On a turn, a player takes one of four actions:&#10;&#10;&#10;    Move their cat token across one of the neighboring blocks, then add the top card on that block to their hand.&#10;    Move their cat token across one of the neighboring blocks, then reveal the top card on that block, keeping it in front of them if it's a Cat or Item and discarding it otherwise.&#10;    Playing an Item or Action card for the effect described in the text, then taking the action shown on the bonus icon.&#10;    Revealing a card at random from their hand, keeping it in front of them if it's a Cat or Item and discarding it otherwise.&#10;&#10;&#10;Each Cat in front of you as well as each pair of Items with the same name is worth 1 point. A Travel note played with three additional cards from the hand is also worth 1 points. The first player to score 6 points wins.&#10;&#10;"
204142,,
204143,https://cf.geekdo-images.com/yEWCahYWfqRephQtvuYyZw__original/img/7qbTJ5Qm-uipnqvxnmuJnaLDzWE=/0x0/filters:format(jpeg)/pic3206502.jpg,"Hexpanse is a fast, hexagon based tactical board game. In the game players are interstellar commanders and warlords who are battling for different planets. The players can win the game in two ways: &#10;1. The player defeats the opponent&rsquo;s commander(s).&#10;2. The player builds up the 9 units long pattern (a unique formation) which is selected randomly from the pattern deck at the beginning of the game.&#10;&#10;During the game the players basically use their own soldiers, however, if they want they can deploy characters and special ally faction units on the planet surface. They can also use special action cards to get more units, speed, wealth or fire power.&#10;&#10;On every turn, the players do the following things in order:&#10;1. Their wealth growth based on their influence.&#10;2. The player can select 2 from the following actions:&#10;- Place a unit or a character on the planet board &#10;- Take a unit back from the planet board&#10;- Take one of your units back from the waste.&#10;- Attack with one of your units or characters.&#10;- Increase your wealth.&#10;- Increase your influence.&#10;- Move your commander to an adjacent place by paying a heal point.&#10;- Use your commander&rsquo;s skill by paying a heal point.&#10;- Heal your commander by 1.&#10;3. Buy cards from the market.&#10;4. Fill up the market up to 5 cards.&#10;&#10;"
204165,,
204168,https://cf.geekdo-images.com/gRHVa1P_YbqxftWPbnIUEw__original/img/YCHvjauS-rqb69B6Y16gE4YaKhY=/0x0/filters:format(jpeg)/pic3104006.jpg,"This undated game uses a tiddly-wink mechanic, but the one disk propels five small plastic rings instead of smaller disks from a red felt mat.&#10;&#10;The directions on the box say to prop the lid behind the base as a backboard, and flip the rings onto a target board inset in the box. The board has a central clown face worth 10 on the nose, 5 on the mouth and 2 on the face, along with four small clowns holding starts, worth 3 or 4 points.&#10;&#10;The big points come from successfully ringing one of 12 wooden pegs supplied with the game that are pushed through small holes in the boards. Each peg ringed is worth 25 points.&#10;&#10;"
204174,,
204175,https://cf.geekdo-images.com/u8hnouFCpGgMaOIdakIDxg__original/img/0lxP3WR07Alt1bjGzgtXKJV6KW4=/0x0/filters:format(jpeg)/pic3099986.jpg,"Become a Super-Villain in Gotham City! Can you escape the World's Greatest Detective?&#10;&#10;The Joker, Catwoman, The Riddler, and Poison Ivy are pulling off elaborate heists to score as much loot as they can carry! Based on the award-winning TV show, Batman: The Animated Series Dice Game' lets you become a Super-Villain in a press-your-luck game for the whole family. Roll the dice and take advantage of each villain's diabolical abilities to scheme your way to victory before getting busted by Batman!&#10;&#10;"
204180,,
204184,https://cf.geekdo-images.com/7dATJj_QRQ02Wc00KIpE5w__original/img/b-eiquow6q0BDRY4jUnOnFtFqGI=/0x0/filters:format(jpeg)/pic4922489.jpg,"Description from the publisher:&#10;Control the crowns, control Europe in the Risk Europe game--an exciting game of medieval conquest. The game challenges players to step into the role of a medieval king and rule feudal Europe by building castles, taxing subjects, expanding territories, and engaging in battle. This in-depth game of strategy and conquest offers serious gamers a premium gameplay experience. It features 4 separate armies and 7 unique starting kingdoms, each with its own strengths and abilities, plus Kings Orders cards that play an important role in strategy.&#10;&#10;User summary:&#10;The goal of the game is to be the first player to control 7 crowns.  Each city under a player's control provides a crown and a mission card deck gives an opportunity to earn more crowns.&#10;&#10;While there's some similarities to other versions of Risk, the turns are quite different.&#10;&#10;Each player has a deck of orders they can take on their turn.  They secretly place two orders face down, and the first place starts by revealing an order.&#10;&#10;One order card type is to either tax a player's connected territories to gain income or to spend that income on siege weapons, archers, cavalry, infantry units, castles or crown cards.&#10;&#10;The other order card type is to expand a player's units into another territory or move units from one territory they own into another.&#10;&#10;There are also additional bonuses on some of the order cards.&#10;&#10;Battles for contested territories are fought with dice.  Non-infantry units are rolled for first by type and deal immediate damage after which all units roll with 3 dice for the attacker and 2 for the defender.&#10;&#10;Diplomacy, alliances, and backstabbing are inevitable.&#10;&#10;"
204185,,
