bgg_id,image,description
376318,,
376346,https://cf.geekdo-images.com/4-MEFA95XHS3BrIbXFYDtA__original/img/IWng-SjR7LL9RMHPMUA7K2PqLjo=/0x0/filters:format(png)/pic7229302.png,"The players control 2-6 characters each, who are experts in different fields. They have been invited to see the hyper modern, fully automated Alcatraz Prison, before it is officially opened. As luck would have it, though, something goes wrong, and the characters become inmates of the penitentiary. Now they all want to flee the island.&#10;Each turn a player chooses a character to move on the island, trying to collect Escape Cards they could have use of when performing their Run. While moving they have to look out for Sentinel guards, and Drone attacks. Each rescued character gives the player a point, and the player with the highest score at the end wins.&#10;The game is semi-cooperative, and players can team up to raise their chances of successfully fleeing. While the game goes on, the Prison System is gradually waking up. At the point it is fully activated it becomes impossible to flee. The game ends when this happens, or when no living prisoner remains on the island.&#10;&#10;&mdash;description from the publisher&#10;&#10;"
376347,,
376348,https://cf.geekdo-images.com/9lPUjV_snQPHECCV8xZh5Q__original/img/r7AVGLaMbrIAcsvWRG2G_XVbV4M=/0x0/filters:format(jpeg)/pic7225871.jpg,A Escape Game in theme of the TV Series &quot;Peaky Blinders&quot;. Help the clan of Thomas Shelby to great wealth.&#10;&#10;
376363,,
376373,https://cf.geekdo-images.com/FfxKmECMTBnAwx9GVFuJzQ__original/img/WJAz2hEm1x5tFP5NCjT4nQHThKM=/0x0/filters:format(png)/pic8322442.png,"Get ready to dive back into the world of Fallout 4 in Fallout Factions: Nuka World, a new skirmish wargame in which two players have enemy factions vying for power as they battle over territory to strengthen their Raiders and take control of Nuka World. Using standard ten-sided dice and featuring a streamlined resolution system, this wargame is great for beginners and those that want to set up the game on the fly.&#10;&#10;Fallout Factions: Nuka World features 32mm scale miniatures that are compatible with Modiphius's adventure game Fallout: Wasteland Warfare. The miniatures have multiple build options available for each figure (ten per box), and they fall into one of three Raider gangs: the Operators, the Pack, and the Disciples.&#10;&#10;"
376380,,
376381,https://cf.geekdo-images.com/ys8zsJb6PRwkws0IBKf7jQ__original/img/2HzSyas2nQ7X5iXVBH-46MAnxsM=/0x0/filters:format(png)/pic7228229.png,"Juego de cartas/mesa del mundo IT.&#10;&#10;Cada jugador se abre paso en el complejo mundo de IT con una empresa de uno de los cuatro tipos disponibles (consultora c&aacute;rnica, tapadera fiscal, startup o crypto fintech blockchain wichiwey).&#10;&#10;Deber&aacute;n completar el desarrollo de El Producto&trade;, y para ello deber&aacute;n ir contratando una plantilla de sufridores obreros del teclado, as&iacute; como de otros animalillos de la fauna del ecosistema IT.&#10;&#10;Tendr&aacute;n que gestionar cuidadosamente los fondos y sopesar con cuidado las contrataciones&hellip; Y sufrir&aacute;n, como en todos los proyectos, eventualidades que pondr&aacute;n en peligro el desarrollo, la financiaci&oacute;n, etc., as&iacute; como con soporte y tecnolog&iacute;as que le ser&aacute;n de gran ayuda. La guerra empresarial jugar&aacute; un importante papel tambi&eacute;n para ser el primero en desarrollar El Producto&trade;.&#10;&#10;Pero adem&aacute;s de desarrollar El Producto&trade;... &iexcl;hay que venderlo! Paco el vendehumo te puede echar una mano con los Clientes. Pero no te f&iacute;es un pelo, &iexcl;que te la l&iacute;a!&#10;&#10;Fullstack ninjas es un juego de cartas/mesa por turnos, donde t&uacute;, en cada turno/sprint, como empresa IT, tendr&aacute;s que hacer trabajar a tu plantilla (con una original mec&aacute;nica de dados y decisiones estrat&eacute;gicas) para desarrollar tareas, contratar/despedir personal, contratar campa&ntilde;as publicitarias para ganar clientes, o subcontratar servicios de consultor&iacute;a/soporte. Algunos trabajadores y habilidades te permitir&aacute;n atacar a tus rivales o defenderte de ellos.&#10;El juego termina cuando un jugador consigue desarrollar El Producto(TM) (llega a la casilla &quot;Go-live&quot;), y tiene suficientes clientes (el n&uacute;mero depende de las tarjetas de desarrollo que se utilicen en la partida).&#10;&#10;...&#10;&#10;Fullstack ninjas is a turn-based card/board game where you, in each turn/sprint, as an IT company, will have to make your team work (with an original dice mechanics, modifiers and strategic decisions) to develop tasks, hire/fire staff, hire advertising campaigns to gain clients, or subcontract consulting/support services. Some workers and abilities will allow you to attack your rivals or defend yourself from them.&#10;&#10;The game ends when a player successfully develops The Product(TM) (reaches the &quot;Go-live&quot; space) and has enough clients (the number depends on the development cards used in the game). Then that player wins.&#10;&#10;-description from designer&#10;&#10;"
376386,,
376389,https://cf.geekdo-images.com/oZaEvvvZfLQiMcJxgnK6qg__original/img/laoJtZ9GVpbJA9l3uA3o-ejZhk8=/0x0/filters:format(jpeg)/pic7225551.jpg,"You are a warrior exploring a forgotten tower that contains many secret passageways, stairs, treasures and creatures. Few dare to enter and fewer have left.&#10;&#10;Solitaire game mode and two players mode.&#10;&#10;The board is made of two printed sheets, you will have to cut some holes in one of the sheets and assemble it with tape and a clip, lower sheet will rotate and the maze will change with each floor. You will have 8 levels of adventure to solve.&#10;&#10;You must collect all red and green chests, when you open a chest you will get its treasure, it can be health points or weapons to improve your attack or a helmet for better shield... Mark on the table the collected chests on each floor. When collected all the chests you will win the game.&#10;&#10;Select a character, warrior or archer. The turn consist of two actions: move and attack, or attack and move. You can choose to not move and wait.&#10;&#10;The heart icon represent your 12 HEALTH POINTS. If you loose all your health points the game ends with no winner.&#10;&#10;Place a creature meeple in the places that contain a skull, for each one open a card from the creatures deck. Place a dice with the corresponding HEALTH POINTS.&#10;&#10;Creatures on their turn will try to move closer to you to attack.&#10;&#10;Characters and creatures have values on each card: health points, armour, weapon damage, attack range, and speed move. Use your character wisly to fight the creatures, if you loose all your health points game will end with no winner.&#10;&#10;What else you need to play this game?&#10;&#10;You will need 8 dice.&#10;I recommend to use the meeple base stand 2cm maximun size.&#10;Optional: corner rounder trimmer punch for cards, maximun size 4mm radius.&#10;Optional: card sleeves 61mm x 90mm&#10;&#10;Main game language: English&#10;Rules: English, Spanish&#10;&#10;Rules English&#10;https://drive.google.com/file/d/1EE2EIywqLqBl8v0jKq7LJPfEiJmNtA1j/view?usp=share_link&#10;&#10;Rules Spanish&#10;https://drive.google.com/file/d/1g08IYjA2xKsn19JWcL4yr_9SEdsE0NuJ/view?usp=share_link&#10;&#10;https://linktr.ee/madchest&#10;&#10;-description from designer&#10;&#10;"
