bgg_id,image,description
8943,,
8944,https://cf.geekdo-images.com/DD86gEz8NTKb75b1dn8yUQ__original/img/Fxs_Pb7lOicGrs86E48bE7fTimA=/0x0/filters:format(jpeg)/pic1592310.jpg,"Triple Yahtzee is basically regular Yahtzee except that there are three scoring columns for each game instead of the normal one. The regular Yahtzee rules listed below are used (except that there are thirty-nine categories instead of thirteen). The columns on the score sheet are divided into first, second and third with a multiplier added to each. For First column the scores are just added up, for second column the scores are doubled and for third column the scores are tripled so in effect throwing 4 - 6's in column one would be valued at 24 but those same 4 - 6's put in column three would be worth 72 points. Therefore it is important to put your very good scores in the third column.&#10;&#10;Yahtzee rules: A classic dice game played with 5 dice. Each player's turn consists of rolling the dice up to 3 times in hope of making 1 of 13 categories. Examples of categories are 3 of a kind, 4 of a kind, straight, full house, etc. Each player tries to fill in a score for each category, but this is not always possible. When all players have entered a score or a zero for all 13 categories, the game ends and total scores are compared.&#10;&#10;"
8945,,
8946,https://cf.geekdo-images.com/o7j9AgTLZu-bcGU1hRDTQA__original/img/DB2ByyzzMuuwzi2ZCJYmzqQ9BTI=/0x0/filters:format(jpeg)/pic4979576.jpg,"From the box:&#10;&#10;Conceal your secret code, outguess your opponent, deduce the solution, amaze your foes.  In the game of CODA players try to crack each other's &quot;code&quot; - a sequence of secret numbers.  Guess an opponent's secret number and it is revealed (by knocking it down).  Guess incorrectly and you must reveal one of your own secret numbers!  On each turn, a new number enters play, which helps you to narrow the possibilities and grow your own code.  Common sense, intuition and your &quot;detective&quot; skills will guide you to success.&#10;&#10;From me:&#10;&#10;There are two sets of tiles (similar to Stratego pieces without the soldiers) numbered 0-11.  One set is black, one is white.  In four player game, everyone one grabs three random pieces and arranges them in numeric order, with white pieces going to the right on ties.  In order a player grabs one of the remaining tiles and guesses on of the opponents pieces.  If correct, that piece is revealed. If the player is incorrect the piece that was just drawn is placed in the correct place in his own sequence and revealed.  If the player was correct in guessing he MAY make another guess.  If he chooses not to then he places the picked piece in his code, in sequence, but does not reveal it.&#10;&#10;Play continues until only one person has a piece standing.  When the new tiles run out, just keep going without drawing tiles.&#10;&#10;Belongs to a series / trilogy, containing:&#10;&#10;    Bernini Mysterie&#10;    Da Vinci Code&#10;    Salomon's Dilemma&#10;&#10;&#10;"
8947,,
8948,https://cf.geekdo-images.com/QH4bh09kFpG2NMp2BMbASg__original/img/-E5QdaTsXOY7yogTHp2cCJPAkmQ=/0x0/filters:format(jpeg)/pic308809.jpg,"This game is a single 3/16 inch thick slab of dense cardboard with a Spinner included.  It is 11 inches by 17 inches overall with the Instructions printed on one side, and 7-steps equal to about 2 paragraphs, very concise.&#10;  On the reverse side is the playing AREA, which is a rendering of a &quot;Beachhead&quot;, on the left side of the Board, which also includes the spinner, and 9 &quot;Invasion&quot; Lanes of varying colors and length, leading from the &quot;Beachhead&quot; to the right side of the board.  The length of the Lanes varies from 4, 5, &amp; 6 then jumps up to 11, 12, 13, 14, &amp; 15. The colors of the Lanes are RED 2-4 spaces, Lt. GRAY 1-5 spaces, YELLOW 2-6 &amp; 12 spaces, VIOLET 1-13 spaces, TAN 1-14 spaces, and GREEN 2-11 &amp; 15 spaces.   &#10;  The playing pieces consist of 9 printed cardboard cut-out LANDING craft and 3 WARSHIPS, all of which can be placed within the GAME board for storage.  The SPINNER has numbers and a RETREAT 2 PLACES section and the DEFENDER always spins it.  To begin the game, place all 9 Landing Craft at the high number end of each Invasion Lane.  Then the Defending player spins the Spinner and if a number is spun/picked, then any Landing Craft on that same number is &quot;SUNK&quot;/removed, otherwise the Landing Craft are advanced one space after each spin.  There are 3 &quot;Special&quot; numbers which when spun will &quot;SINK&quot;/remove the Warships and if ALL of them are &quot;SUNK&quot; then the Defender gets to spin TWICE each time.  The OBJECT of the game is for the Defender to sink 5-LC or the Invader to LAND 5-LC.  NO designer/developer credits or DATE on the GAME but a number-#950-50 &amp; Made in U.S.A. are printed below the instructions.&#10;&#10;"
8950,,
8954,https://cf.geekdo-images.com/LcyP0gQsWbDboqS3WWI_0A__original/img/WlI9qC6OV9UjDxqVQZyPDzvrKa4=/0x0/filters:format(jpeg)/pic1524043.jpg,"GMT&rsquo;s The Battles of Waterloo covers four major battles during the Waterloo campaign: Mont Saint Jean, Quatre Bras, Ligny, and Wavre in one package, plus a campaign game.  There are 3 maps included but only the campaign game needs all three.  Scenarios require one to two maps.  Game components include:&#10;&#10;480 full-color two-sided counters;&#10;Three 22x34&quot; full-color mapsheets;&#10;One 10-sided die; &#10;32-page Rule Book and Errata; &#10;16-page Scenario Book; &#10;Player Aid Cards: Terrain Chart, Fire Table / Shock Table / other tables, Sequence of Play, Assault Resolution Procedure, Command Hierarchy Chart L'Armee du Nord, What To Do When You Pick That LIM.&#10;&#10;Game features include:&#10;&#10;     Interactive Turn Sequence that integrates Command, Coordination and Control with play tension: the LIM (Leader Initiative Marker) system. &#10;     Lower-level command ability represented by Cohesion and Commitment. &#10;     Combined Arms approach to effective combat tactics. &#10;     Multi-tiered movement capabilities. &#10;     Grand Battery, Square, Cavalry Pursuit, Napoleon's Health, Special Chateau Defense rules  &#10;&#10;&#10;A detailed study on the Waterloo campaign, colorful, and tension-filled.&#10;&#10;"
8955,,
8956,https://cf.geekdo-images.com/8BhX85avooeRLWsN70ZrlQ__original/img/S-eymUMvlsLFt-yG4_Knz3VJlRA=/0x0/filters:format(jpeg)/pic2020821.jpg,"From the rules: &quot;Be first to land Captain America and the Falcon at Satellite Lookout.&quot;&#10;&#10;&quot;Captain America, our hero, is a symbol of all that is good, true and honorable.  He whips ruthless super villains and crushes evil and corruption.  Clothed in red, white and blue, with a star on this chest, Captain America carries, as his only weapon, an indestructible shield.  In this game, Captain America and his companion, the Falcon, are helped by their Avenger friends and hindered by their enemies.  Try to be the first to overcome the tricks of the super villains and reach Satellite Lookout.&quot;&#10;&#10;Basic Spin-and-move game mechanics.  Each player has two pieces (one for Cap and one for the Falcon).  Spin and land on an Avenger square and move ahead X amount of spaces.  Spin and land on an enemy square and be stuck there until you spin a pre-set number.  First to get both pieces to the end (Satellite Lookout) wins.&#10;&#10;"
8957,,
8958,https://cf.geekdo-images.com/ABhnPFjf0RjI9-U9FyWAEQ__original/img/BvGg6QWNBFKo_vCudXxo8a4H9w8=/0x0/filters:format(jpeg)/pic321783.jpg,"In the game of kuuduk, the object is to be the first player to spell out the word k-u-u-d-u-k by laying down 6 lettered cards, connecting them by color or by number.&#10;&#10;Simple enough, right?&#10;&#10;Don't be too sure!&#10;&#10;As the game progresses, the frenzy builds as players turn on one another discarding switch and swipe cards.  No play is ever safe, because in kuuduk, what goes around definitely comes around!&#10;&#10;"
8959,,
8960,https://cf.geekdo-images.com/I-J6L6nr21siVbY0-MeFNA__original/img/O1uPx-O9f9s_35-zuCGpskpNVqs=/0x0/filters:format(jpeg)/pic5348043.jpg,"A Risk-style game set around Mare Nostrum, i.e. the ancient Mediterranean Sea. Both land and sea-based units are included, as are some elements of diplomacy. The advanced rules permit simultaneous movement.&#10;&#10;Later re-published by Editrice Giochi after International Team went out of business.&#10;&#10;"
8961,,
8962,https://cf.geekdo-images.com/hvBtV3xDXVbKqyvxFT_RvA__original/img/yD_T2RUpE8G6wjvjHH5tBEiE2ZI=/0x0/filters:format(jpeg)/pic67056.jpg,"The Jewish war - The zealot rebellion against Rome (66 to 73 AD)&#10;&#10;The Jewish war (or Great revolt) in the roman province of Judea, was the consequence of Roman oppression leaded by Gessius Florus (governor of Judea) against the Jews of Galilea &amp; Judea.&#10;&#10;Convinced that Romans would destroy his kingdom, the king of Gamala sent a contingent of cavalry in Judea which made the signal waited by the Zealots to trigger their rebellion. The Zealots (who were in favour of Judea's independence) raise up against garrisons of Arabians auxiliaries based in Judea &amp; Galilea in 66 AD. In spite of their victory against the Feoderoti, the Zealots were finally defeated by the intervention of 4 Roman legions.&#10;&#10;"
8963,,
8964,https://cf.geekdo-images.com/aq70DqsbeaDXkzCDPEHrpw__original/img/8BO7Mk7dF7Q0qhm84zz0XhbP-I0=/0x0/filters:format(jpeg)/pic343124.jpg,"The first player to get one of their bunnies to the top of the hill wins.  Each turn players draw a card which either has them move one of their bunnies or rotate the carrot at the top of the board which will cause holes to open and close on the game board.  Any bunny that lands on an open hole, or has a hole open up underneath them, drops under the board.  If a player loses all 4 of their bunnies, they are out of the game.&#10;&#10;"
8965,,
