bgg_id,image,description
322185,https://cf.geekdo-images.com/hWHeEX0kx40ng7Q-ScKW-A__original/img/IfyCnQRD3rgT5UXme7xqab9Vrec=/0x0/filters:format(jpeg)/pic5727984.jpg,"The racers in Racekart Riot race off in hopes of winning the prized Ruby Cup!  Armed with bananas, eggs, bombs, and more, the racers battle their way to first place. In this retro racing game, you don&rsquo;t just win by coming in first place though, you must collect car and item cards in order to finish with style, earning you more points! When the race ends, the player with the most points wins the Ruby Cup and is crowned the champion!&#10;&#10;&mdash;description from the publisher&#10;&#10;"
322188,,
322189,https://cf.geekdo-images.com/Opay-S-Brd7eh4YpeChczQ__original/img/0WtB1C8u4ihphwE7Z3XMi-_n0rA=/0x0/filters:format(jpeg)/pic5716920.jpg,"Quizz Pyr&eacute;n&eacute;es is a set of 110 cards / 550 questions gathered in 5 themes about the Pyrenees.&#10;For each question, 5 clues, increasingly easy. The less question a player uses to answer, the more points he or she will score.&#10;Whoever scores the most points at the end of the game will be crowned the &quot;Best Pyrenean&quot;&#10;The themes are:&#10;&#10;     Fauna and flora&#10;     Unique landscapes&#10;     Heritage and traditions&#10;     Sports and leisure&#10;     Facts or characters in history&#10;&#10;&#10;"
322190,,
322191,,"In this fun and easy game, 2-4 players each build their vision for the future of Charlotte. Players choose their objectives, what to build, and where to build it. The player with the best city wins the game! This game was built as a part of the  Charlotte Future 2040 Comprehensive Plan public involvement process.&#10;&#10;On your turn, a player takes two cards from the central play area. A player may take a Framework Policy card, which provides victory points for fulfilling its objectives; or a Place Type/Projects &amp; Programs card to place in their city to meet Framework Policy objectives.&#10;&#10;After a player selects their two cards, they discard a specified number of cards from the play area, based on the number of players. Empty spaces in the central play area are then filled with new cards. Play then proceeds clockwise.&#10;&#10;The game ends after 11 rounds, or a total of 22 cards for each player. Players score their own Framework Policy cards and shared Bonus Point cards. The player with the most points wins.&#10;&#10;"
322192,,
322193,https://cf.geekdo-images.com/h0jeGpl-GTYtC5f_92_gmQ__original/img/dFMGlvBQ7KqEWW6M9j361PB2wZw=/0x0/filters:format(jpeg)/pic5717776.jpg,"Quizz Bassin d'Arcachon is a set of 110 cards / 550 questions gathered in 6 themes about the Bassin d'Arcachon (a bay of the Atlantic Ocean on the southwest coast of France).&#10;For each question, 5 clues, increasingly easy. The less question a player uses to answer, the more points he or she will score.&#10;Whoever scores the most points at the end of the game will be crowned the &quot;Best connoisseur of the Basin&quot;&#10;The themes are:&#10;&#10;     Natural sites&#10;     History and politics&#10;     Places / Heritage&#10;     Sports and leisure&#10;     Culture and traditions&#10;     Gastronomy &amp; Crafts&#10;&#10;&#10;"
322194,,
322195,https://cf.geekdo-images.com/MMaLJg162_ytiCW7v9M9EQ__original/img/ougr77xXYQDC0SEIf1xh6PiUySg=/0x0/filters:format(jpeg)/pic5728513.jpg,"Each player receives a 36 card deck, constructed from 3 each of 12 different ceremony cards (there are 16 different ceremonies in the base game).&#10;&#10;Each player has a player board with spaces for four ceremonies. Their play area consists of the four spaces of their board, and the two nearest spaces on their left and right neighbors (for a total of 8 spaces). On a turn, they may draw a card, start a ceremony on personal player board, as long as there is not a ceremony of that type on in their play area; or play a card from their hand into any ceremony in their play area. Once started, a ceremony in your player grants a special ability until it is completed.&#10;&#10;Ceremonies are complete after the fourth card is played to it, with the player claiming a victory point tile, and putting out a game end token if none is available. When all of the game end tokens have been put out the game ends. The player who has collected the most Victory Points is the winner.&#10;&#10;-description from publisher&#10;&#10;"
322196,,
322197,https://cf.geekdo-images.com/RwyoTSveEpVOH6G9TzgoHQ__original/img/WB28R1cLxuzWa7pui2Y9S-UzKzc=/0x0/filters:format(jpeg)/pic5717793.jpg,"Brothers at War: 1862 is a quick-playing, tactical wargame exploring civil war brigade command. Units are regiments, batteries and companies of skirmishers. This is a quadrigame or set of four games, each featuring a full-size, 22x34&quot; game map and covering battles from 1862: &#10;&#10;     Antietam, 5am-9am, September 17th&#10;     South Mountain, 9am-6pm, September 14th&#10;     Mill Springs, 7am-12pm, January 17th&#10;     Bloody Valverde, 10am-5pm, February 21st&#10;&#10;&#10;Command rules are simple and abstracted. There are no combat results tables. Combat and all checks are resolved using six-sided dice, in which results of 5-6 mark success, and 1-4 failure. Brigades activate via chit pull, with their constituent units moving and fighting individually. Stacking is limited to two units per hex. Massive 1.5&rdquo; hexes allow two 3/4&rdquo; units to fit side by side&hellip; no information is obscured!&#10;&#10;Distinctions are made between formed and unformed infantry, deployed and limbered artillery, mounted and dismounted cavalry. Unit facing is not an element of play. Instead, unit deployment in adjacent hexes can trigger pass-through fire, which simulates flanking fire, or fire on compressed lines (both dangerous situations for civil war units).&#10;&#10;Battle Cards introduce an element of uncertainty and excitement to play. Unique off-map displays track every brigade's reserves and casualties. Once a unit's reserves are used up, it becomes exhausted and liable to break.&#10;&#10;Game Scale:&#10;Game Turn: 20 minutes&#10;Hex: 100 yards / 91 meters&#10;Units: Regiments and Batteries&#10;&#10;Game Inventory:&#10;Four 22 x 34&quot; full color mapsheets (1.5&quot;/38mm hex size)&#10;Four dual-side printed countersheets (520 .75&quot;/19mm counters)&#10;One  dual-side printed countersheet  (228 .5&quot;/12.7mm counters)&#10;One  24-page full color rulebook&#10;One  36-page full color scenario book&#10;Five dual-side printed brigade display player aid cards&#10;Two  dual-side printed activation track display player aid cards&#10;Two  dual-side printed sequence of play/terrain effects/combat chart player aid cards&#10;One  deck of 52 battle playing cards&#10;Two  save rolls playing cards&#10;Six  off-board artillery playing cards&#10;Six 6-sided dice (3 blue/3 gray)&#10;&#10;Solitaire Playability: Medium&#10;Complexity Level: Medium-high&#10;Players: 2 or more&#10;Playing Time: 1-4 hours&#10;&#10;"
322198,,
322199,https://cf.geekdo-images.com/KQn9lnWCtSwklQMRwjpOGQ__original/img/T5XAsrvy_kvNAc2kK2kfTqibd_s=/0x0/filters:format(jpeg)/pic5717804.jpg,"Operation Crusader, The Winter Battles for Tobruk, 1941 is played on a map of Libya and Egypt immediately south and east of Tobruk, where the battle was fought. It uses playing pieces that represent the actual military units that participated in this campaign. Each player represents the commander of the Axis or Allied forces. The individual ground units represent battalions of approximately 700 soldiers (50-60 tanks in an armored battalion, 12-24 guns in an artillery battalion), or companies of about 200 soldiers (15-20 tanks or armored cars in an armored company, 4-12 guns in an artillery battery). Each hex represents 2 kilometers or 1.25 miles. Each turn is a third of a day.&#10;&#10;Operation Crusader is a two-player game, with team play possible for the full campaign game. &#10;One player assumes the role of the Axis and the other player assumes the role of the Allies. &#10;Each player moves his units and executes attacks on enemy units in turn, attempting to fulfill the game&rsquo;s Victory Conditions. &#10;To move from one space to another, each unit expends a portion of its Movement Allowance. &#10;Combat is resolved through Battles by &quot;firing&quot; at opposing units and then determining the outcome of any hits scored. A die is used to resolve combat.&#10;&#10;The classic monster game returns with a newly-streamlined game system throughout (no more pre-plotting movement!). This new edition emphasizes playability while capturing the flavor of the original game. The game adds smaller scenarios (6 total), each covering a shorter and smaller part of the historic battle, and a full campaign game which allows players to experience the full sweep of Operation Crusader. Two shorter versions of the entire campaign (the most exciting parts) are also included for those wanting less game play time.&#10;&#10;Featured scenarios include:&#10;    &bull; Scenario 1: Gabr Saleh (5 turns, 1 map), AM 19 Nov - PM 20 Nov&#10;    &bull; Scenario 2: Bir El-Gobi (5 turns, 1 map), AM 19 Nov - PM 20 Nov&#10;    &bull; Scenario 3: Sidi Rezegh (8 turns, 1 map), AM 21 Nov - PM 23 Nov&#10;    &bull; Scenario 4: Storming the Frontier (8 turns, 1 map), AM 21 Nov - PM 23 Nov&#10;    &bull; Scenario 5: Rommel's Dash (11 turns, 1 map), AM 24 Nov - PM 27 Nov&#10;    &bull; Scenario 6: The Cauldron (8 turns, 2 maps), AM 24 Nov - PM 26 Nov&#10;    &bull; &quot;Short&quot; Campaign Game (14 turns, all 4 maps), AM 19 Nov - PM 23 Nov&#10;    &bull; &quot;Long&quot; Campaign Game (31 turns, all 4 maps), AM 19 Nov - PM 28 Nov&#10;    &bull; &quot;Extended&quot; Campaign Game (50 turns, all 4 maps), AM 19 Nov - PM 5 Dec&#10;&#10;&mdash;description from the publisher's website&#10;&#10;"
322200,,
322202,https://cf.geekdo-images.com/GJBzHRqPiWtmNHxYT783sA__original/img/qzpDGH6BON1TUf6TrkZJsVkA2_8=/0x0/filters:format(png)/pic5718324.png,"Usurper is a fast-paced, highly strategic card drafting and grid placement game for 2 players. In this dark fantasy game, you&rsquo;ll recruit followers from the realm&rsquo;s four distinct factions, then unite them in a bid to dominate your adversary and seize the throne.&#10;&#10;Each game of Usurper plays in about 15-20 minutes, with matches moving quickly across three simple phases.&#10;&#10;&#10;     Drafting Phase - Players alternate drafting followers from the recruitment row to build a 9-card hand, taking into account their secret bonus scoring card.&#10;     Card Placement Phase - Players alternate placing their followers on their own 3x3 grid, firing instant card abilities and taking care to maximize their placement to get the most value.&#10;     Scoring Phase - Everyone tallies their 3x3 grid, adding each card's base score, any special card abilities, and their secret bonus scoring card.&#10;&#10;&#10;&mdash;description from the publisher&#10;&#10;"
322203,,
322204,https://cf.geekdo-images.com/ak3IvEJL-DihkifEu-r5zw__original/img/90_h4MjPV-pHQzbwGcBP0xx8aGA=/0x0/filters:format(png)/pic6255299.png,"Word Capture needs speed and wit. This game for 2-6 player, and takes 10 minutes to play.&#10;&#10;In Word Capture players has to call an associated word following the calling condition. But be aware of calling with another player at the same time unless you might get a penalty point.&#10;To set up, shuffle 40 subject cards playing with 2 to 3 players and 50 cards playing with 4 to 6 players and make a face-down deck on the middle of the table and turn the rest back to the box&#10;When the game begins, one of the players turns the card over and puts it on the table so every player can see the Alphabet on the deck and the subject on the front of the card.&#10;When there is a subject that matches the alphabet, every player has to call a word that is associated with the subject following the calling condition.&#10;When this condition appears players must call a word matching the number of characters shown on the card.&#10;When this condition appears players have to call the number of syllable word that matches with the number of orders they have to call. For example, the first player who calls must call a one-syllable word, and the second player must call a two-syllable word. When playing with 2player, this condition is fixed by calling a five-syllable word.&#10;When this condition appears, the first letter of the word must include the letter that is shown on the card.&#10;The last player who didn&rsquo;t call an associated word or a player who didn&rsquo;t follow the condition of calling has to take the subject card that is currently opened on the table as a penalty point.&#10;And when 2 player calls an associated word at the same time they both get a penalty point by one taking from the front opened card and one from the deck.&#10;When there is no alphabet matching with the subject, every player must place their hand on the card which is opened on the table. The last player who placed its hand on the card takes the card and gets a penalty point. If players made a mistake the first player who made the mistake takes the card.&#10;The game ends immediately when there is one or less subject card left on the deck and the player with the less card on their front wins the game. In case of a tie, take 8 unused cards from the box and take extra rounds.&#10;&#10;"
322205,,
322215,https://cf.geekdo-images.com/HkhUrd8zDu9OLWUuF_yAsg__original/img/ISzpxuBAhj3UYUwVbRVDO42gsKE=/0x0/filters:format(jpeg)/pic5726087.jpg,"An exciting traffic game for 2-6 people from 6 years.&#10;Everyone goes to school, but nobody goes alone!&#10;Everyone has 2 figures that they have to bring quickly and safely to the school yard. Traffic questions need to be answered and roads need to be crossed safely. If you have collected enough points, Quacks will help you a lot further to your goal! A traffic game with colorfully illustrated instructions, exciting until the last minute. Not just for school beginners!&#10;&#10;&mdash;user summary&#10;&#10;"
322223,,
322226,https://cf.geekdo-images.com/fWGhYZb5CYETDCU7A-g4QQ__original/img/dQX55h8YSajpVit9Qpq9iZA_TQU=/0x0/filters:format(png)/pic5814641.png,"PolitSABOTAGE is a role-playing business game, where players can practice communication, public speaking and bluff recognizing skills.&#10;The Goal of the Game: Players are Members of the Parliament (MP). &#10;Every player secretly receives a card with a role, resulting in 2 commands: Coalition and Opposition. Players  have to communicate with each other, compete for the Chairman position and debate to ensure that their team wins.&#10;&#10;     The MPs  without powers play until the end of the game.&#10;&#10;&#10;Requires: 6-16 players (best 10) and a Game Master (GM).&#10;&#10;&#10;     The GM, players, teams, roles and goal of the Game.&#10;&#10;&#10;The Game requires the GM, who does not have a playing role. They monitor the playing time, announce the beginning and the end of game actions, treat all players impartially and monitor compliance with the rules (see the sections &laquo;Forbidden in the Game&raquo; and &laquo;Sanctions&raquo;), settle conflicts between players and impose sanctions (if necessary). In case of a dispute on the correctness / fairness of the GM's actions, they must be supported by 3 players (at least).&#10;&#10;The players (6-16 people) get the Role Cards. Then they are divided into two teams in a random manner:&#10;- Coalition team (the players with the Coalition Supporter and Intelligence Agent Role Cards);&#10;- Opposition team (the players with the Oppositionist and Head of the Opposition Role Cards).&#10;&#10;&#10;     The Goal of the Game is to ensure victory for your team.&#10;&#10;&#10;&#10;     The Game Ends with the victory of one of the teams:&#10;&#10;&#10;- the Coalition team wins if all members of the Opposition team are deprived of their powers&#10;- the Opposition team wins if the number of the Opposition players is equal to the number of the Coalition players&#10;&#10;"
322229,,
